<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBC,20130705,3.3585,3.3995,3.3585,3.3995,48520
HBC,20130704,3.3380,3.4404,3.3380,3.3790,76240
HBC,20130703,3.3380,3.3790,3.3380,3.3790,96510
HBC,20130702,3.2766,3.3790,3.2766,3.3585,57920
HBC,20130701,3.2766,3.3380,3.2766,3.3380,13220
HBC,20130628,3.3585,3.3790,3.3380,3.3585,82710
HBC,20130627,3.3585,3.3790,3.2971,3.3585,47520
HBC,20130626,3.2152,3.3380,3.2152,3.3380,81120
HBC,20130625,3.3585,3.3585,3.1332,3.3380,201170
HBC,20130624,3.3790,3.3790,3.3176,3.3585,102980
HBC,20130621,3.3380,3.3790,3.3380,3.3790,65220
HBC,20130620,3.3995,3.3995,3.3380,3.3790,45830
HBC,20130619,3.3790,3.3995,3.3585,3.3790,87500
HBC,20130618,3.4199,3.4814,3.3380,3.3380,152530
HBC,20130617,3.5223,3.5223,3.3995,3.4814,130230
HBC,20130614,3.6657,3.6657,3.5428,3.5428,294720
HBC,20130613,3.5019,3.5212,3.4632,3.5019,186030
HBC,20130612,3.4825,3.5793,3.4632,3.5019,258830
HBC,20130611,3.5212,3.5212,3.4632,3.4825,142990
HBC,20130610,3.5986,3.6760,3.4825,3.4825,325070
HBC,20130607,3.5019,3.5793,3.4632,3.5793,672530
HBC,20130606,3.3858,3.4825,3.3664,3.4825,358160
HBC,20130605,3.3277,3.4245,3.3277,3.4051,80910
HBC,20130604,3.4051,3.4438,3.3858,3.3858,133140
HBC,20130603,3.4245,3.4438,3.4051,3.4051,60130
HBC,20130531,3.4438,3.4825,3.4051,3.4438,189560
HBC,20130530,3.3664,3.4245,3.3664,3.4245,92520
HBC,20130529,3.4825,3.4825,3.4051,3.4051,195120
HBC,20130528,3.4438,3.4825,3.4245,3.4438,262240
HBC,20130527,3.3664,3.5212,3.3664,3.4825,612980
HBC,20130524,3.3277,3.3858,3.3277,3.3664,169290
HBC,20130523,3.3664,3.4245,3.3277,3.3277,190600
HBC,20130522,3.4632,3.4825,3.3664,3.4051,270570
HBC,20130521,3.2503,3.3858,3.2310,3.3858,502960
HBC,20130520,3.1730,3.2503,3.1730,3.2117,280400
HBC,20130517,3.1343,3.1923,3.1343,3.1730,146950
HBC,20130516,3.1923,3.1923,3.1536,3.1730,113100
HBC,20130515,3.1149,3.2117,3.0956,3.1730,83740
HBC,20130514,3.1923,3.1923,3.1343,3.1343,191050
HBC,20130513,3.2310,3.2310,3.1730,3.2117,50540
HBC,20130510,3.2503,3.2503,3.1730,3.1923,91580
HBC,20130509,3.1923,3.2503,3.1923,3.1923,279030
HBC,20130508,3.1730,3.2503,3.1730,3.1730,172480
HBC,20130507,3.2890,3.2890,3.1730,3.1730,140690
HBC,20130506,3.0762,3.2310,3.0569,3.2310,399030
HBC,20130503,3.0182,3.0956,3.0182,3.0375,73790
HBC,20130502,3.0956,3.0956,3.0375,3.0569,19430
HBC,20130426,3.0762,3.1343,3.0182,3.0956,164830
HBC,20130425,3.0956,3.1730,3.0956,3.0956,74730
HBC,20130424,2.9988,3.0956,2.9988,3.0956,102100
HBC,20130423,3.0569,3.0956,2.9988,2.9988,103230
HBC,20130422,3.0956,3.1149,2.9988,3.0569,167530
HBC,20130418,3.1343,3.1536,3.0569,3.0762,148460
HBC,20130417,3.1730,3.1923,3.1343,3.1730,21880
HBC,20130416,3.1149,3.2117,3.0956,3.1730,212110
HBC,20130415,3.2503,3.2697,3.1730,3.1923,202800
HBC,20130412,3.3471,3.3471,3.2503,3.2697,215040
HBC,20130411,3.2890,3.3084,3.2503,3.3084,217310
HBC,20130410,3.3858,3.4051,3.3084,3.3084,219060
HBC,20130409,3.4245,3.4245,3.3471,3.3858,128050
HBC,20130408,3.3471,3.4245,3.3084,3.3858,302290
HBC,20130405,3.2697,3.2890,3.2503,3.2890,123840
HBC,20130404,3.2890,3.3277,3.2697,3.2697,120860
HBC,20130403,3.3471,3.3664,3.2890,3.3277,94490
HBC,20130402,3.3277,3.4245,3.3277,3.3277,302030
HBC,20130401,3.2117,3.3664,3.2117,3.3664,191410
HBC,20130329,3.2503,3.2697,3.2117,3.2503,217730
HBC,20130328,3.4051,3.4051,3.2890,3.2890,279750
HBC,20130327,3.4051,3.4438,3.3664,3.3664,195380
HBC,20130326,3.5019,3.5019,3.4051,3.4051,239510
HBC,20130325,3.4438,3.4825,3.3664,3.4825,177520
HBC,20130322,3.5019,3.5212,3.3664,3.4051,382710
HBC,20130321,3.5212,3.5793,3.5019,3.5019,365250
HBC,20130320,3.5019,3.5599,3.4825,3.5212,354660
HBC,20130319,3.4825,3.5406,3.4051,3.5019,465560
HBC,20130318,3.5406,3.5406,3.4438,3.4438,482200
HBC,20130315,3.5212,3.5599,3.4632,3.5406,581870
HBC,20130314,3.5793,3.5793,3.5019,3.5599,415790
HBC,20130313,3.4245,3.6179,3.4245,3.5793,822080
HBC,20130312,3.3664,3.5019,3.3471,3.5019,1310020
HBC,20130311,3.1923,3.3664,3.1923,3.3471,927230
HBC,20130308,3.1536,3.1923,3.1149,3.1923,297630
HBC,20130307,3.1730,3.1730,3.0956,3.1343,179080
HBC,20130306,3.0762,3.1730,3.0762,3.1730,263690
HBC,20130305,3.1149,3.1149,3.0375,3.0762,492440
HBC,20130304,3.2697,3.2697,3.1149,3.1343,564830
HBC,20130301,3.2117,3.3084,3.1536,3.2503,615970
HBC,20130228,3.2890,3.3084,3.1923,3.2117,222770
HBC,20130227,3.3084,3.3084,3.1343,3.2503,424390
HBC,20130226,3.3858,3.3858,3.2310,3.2310,1734430
HBC,20130225,3.1730,3.1730,3.1730,3.1730,134510
HBC,20130222,3.2503,3.2503,2.8827,2.9795,716270
HBC,20130221,3.2890,3.3084,3.0762,3.0762,578540
HBC,20130220,3.2310,3.2890,3.2310,3.2890,370280
HBC,20130219,3.3277,3.3471,3.2697,3.2697,432970
HBC,20130218,3.3858,3.3858,3.3471,3.3471,504170
HBC,20130208,3.2697,3.3664,3.2697,3.2697,306640
HBC,20130207,3.1923,3.2503,3.1536,3.2503,397570
HBC,20130206,3.0956,3.2117,3.0956,3.1730,220290
HBC,20130205,3.1343,3.2503,3.0375,3.1343,510220
HBC,20130204,3.0569,3.1923,3.0375,3.1343,492370
HBC,20130201,2.9408,3.0182,2.8827,3.0182,648810
HBC,20130131,2.8247,2.9795,2.8054,2.9214,890710
HBC,20130130,2.7667,2.8634,2.7667,2.7860,232050
HBC,20130129,2.7860,2.8247,2.7473,2.7860,174190
HBC,20130128,2.8827,2.9021,2.8054,2.8054,485250
HBC,20130125,2.7280,2.8827,2.7280,2.8054,448080
HBC,20130124,2.6699,2.7667,2.6699,2.7280,178040
HBC,20130123,2.7086,2.7086,2.6119,2.6699,170530
HBC,20130122,2.7280,2.7860,2.6312,2.6506,407170
HBC,20130121,2.8054,2.8247,2.7280,2.7280,379640
HBC,20130118,2.8441,2.8441,2.7473,2.8054,414410
HBC,20130117,2.9795,2.9795,2.8247,2.8441,541410
HBC,20130116,2.9601,3.0762,2.9214,2.9988,856640
HBC,20130115,2.7860,2.9601,2.7667,2.9021,670750
HBC,20130114,2.8827,2.8827,2.7860,2.7860,539690
HBC,20130111,2.8634,2.8827,2.8247,2.8827,791410
HBC,20130110,2.6506,2.7473,2.6119,2.7473,995190
HBC,20130109,2.6506,2.7280,2.5732,2.6312,1197300
HBC,20130108,2.6119,2.6312,2.5732,2.6119,363620
HBC,20130107,2.6312,2.6506,2.5732,2.6119,679960
HBC,20130104,2.5732,2.6699,2.5151,2.6312,458330
HBC,20130103,2.6699,2.6699,2.5345,2.5732,571570
HBC,20130102,2.5345,2.6312,2.5345,2.6312,758420
HBC,20121228,2.5345,2.5345,2.4958,2.5151,313860
HBC,20121227,2.4958,2.5538,2.4958,2.5151,564000
HBC,20121226,2.4184,2.5151,2.4184,2.5151,233180
HBC,20121225,2.4571,2.4765,2.4378,2.4378,198730
HBC,20121224,2.4958,2.5151,2.4765,2.4765,266920
HBC,20121221,2.4958,2.5151,2.4571,2.4765,171900
HBC,20121220,2.5732,2.5925,2.4958,2.5345,333490
HBC,20121219,2.4765,2.5345,2.4765,2.5345,674180
HBC,20121218,2.4571,2.4571,2.4184,2.4184,250500
HBC,20121217,2.4184,2.4765,2.4184,2.4378,202210
HBC,20121214,2.4378,2.4765,2.4184,2.4184,456590
HBC,20121213,2.5345,2.5345,2.4378,2.4378,458390
HBC,20121212,2.5151,2.5732,2.4571,2.5151,368980
HBC,20121211,2.5151,2.5345,2.4571,2.4958,409000
HBC,20121210,2.4184,2.5151,2.4184,2.4958,358940
HBC,20121207,2.4571,2.5151,2.4184,2.4184,307530
HBC,20121206,2.3991,2.5345,2.3991,2.4571,310490
HBC,20121205,2.3604,2.4571,2.3410,2.4378,608680
HBC,20121204,2.3023,2.3604,2.3023,2.3410,230290
HBC,20121203,2.2830,2.3023,2.2830,2.3023,119540
HBC,20121130,2.2830,2.2830,2.2443,2.2830,131260
HBC,20121129,2.2443,2.3023,2.2443,2.2636,154310
HBC,20121128,2.3217,2.3217,2.2636,2.2830,220030
HBC,20121127,2.3023,2.3410,2.3023,2.3217,128960
HBC,20121126,2.3217,2.3217,2.2830,2.3217,93750
HBC,20121123,2.3604,2.4184,2.3217,2.3410,372040
HBC,20121122,2.1669,2.3217,2.1669,2.3217,620550
HBC,20121121,2.2056,2.2249,2.1862,2.2249,84500
HBC,20121120,2.1669,2.2443,2.1669,2.2249,187150
HBC,20121119,2.2249,2.2249,2.1476,2.1669,87480
HBC,20121116,2.1282,2.2056,2.1282,2.2056,81760
HBC,20121115,2.2249,2.2249,2.1476,2.1669,166130
HBC,20121114,2.2636,2.3023,2.2249,2.2249,188050
HBC,20121113,2.2443,2.2830,2.2249,2.2636,356660
HBC,20121112,2.1669,2.1862,2.1089,2.1862,293530
HBC,20121109,2.0702,2.0895,2.0702,2.0895,96620
HBC,20121108,2.1282,2.1476,2.0702,2.0702,66330
HBC,20121107,2.0895,2.1669,2.0895,2.1476,106640
HBC,20121106,2.0702,2.1282,2.0702,2.0895,71390
HBC,20121105,2.2056,2.2056,2.1089,2.1089,143210
HBC,20121102,2.2056,2.2636,2.2056,2.2056,281230
HBC,20121101,2.3023,2.3604,2.3023,2.3217,85370
HBC,20121031,2.3797,2.3797,2.3217,2.3217,89540
HBC,20121030,2.4378,2.4378,2.3797,2.3797,52750
